Sample	Condition	BioReplicate
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-01.raw	No DOX-DMSO	1
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-02.raw	No DOX-DMSO	2
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-03.raw	No DOX-DMSO	3
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-04.raw	No DOX-DMSO	4
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-05.raw	No DOX-DMSO	5
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-06.raw	No DOX-DMSO	6
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-07.raw	NO DOX 11J	1
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-08.raw	NO DOX 11J	2
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-09.raw	NO DOX 11J	3
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-10.raw	NO DOX 11J	4
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-11.raw	NO DOX 11J	5
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-12.raw	NO DOX 11J	6
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-13.raw	DOX-DMSO	1
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-14.raw	DOX-DMSO	2
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-15.raw	DOX-DMSO	3
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-16.raw	DOX-DMSO	4
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-17.raw	DOX-DMSO	5
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-18.raw	DOX-DMSO	6
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-19.raw	DOX-11J	1
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-20.raw	DOX-11J	2
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-21.raw	DOX-11J	3
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-22.raw	DOX-11J	4
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-23.raw	DOX-11J	5
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-24.raw	DOX-11J	6
