Protein.Group	Protein.Names	Genes	CC mapped	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-01.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-02.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-03.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-04.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-05.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-06.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-07.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-08.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-09.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-10.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-11.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-12.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-13.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-14.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-15.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-16.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-17.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-18.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-19.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-20.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-21.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-22.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-23.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-24.raw
P07237	PDIA1_HUMAN	P4HB		Protein disulfide-isomerase	40	40	5.59E+08	5.13E+08	5.29E+08	5.42E+08	5.31E+08	5.29E+08	5.61E+08	5.07E+08	4.86E+08	5.04E+08	5.15E+08	4.72E+08	5.77E+08	5.24E+08	6.13E+08	5.77E+08	5.48E+08	6.38E+08	6.84E+08	6.02E+08	7.34E+08	6.71E+08	6.54E+08	7.56E+08
P07437	TBB5_HUMAN	TUBB		Tubulin beta chain	19	6	5.62E+09	4.71E+09	5.32E+09	5.60E+09	5.52E+09	5.37E+09	5.45E+09	4.72E+09	4.39E+09	4.92E+09	5.05E+09	4.52E+09	3.71E+09	3.33E+09	3.67E+09	3.73E+09	3.61E+09	4.71E+09	4.66E+09	3.82E+09	4.31E+09	4.45E+09	4.59E+09	4.97E+09
P81877;P81877-4;P81877-5	SSBP2_HUMAN	SSBP2		Single-stranded DNA-binding protein 2	3	3	4.81E+06	4.88E+06	5.57E+06	5.76E+06	4.83E+06	4.88E+06	5.39E+06	4.73E+06	4.78E+06	5.06E+06	4.89E+06	4.54E+06	3.70E+06	3.52E+06	3.58E+06	3.65E+06	3.89E+06	5.32E+06	4.87E+06	3.88E+06	5.06E+06	4.05E+06	4.44E+06	4.20E+06
Q8NCB2-2	CAMKV_HUMAN	CAMKV		Isoform 2 of CaM kinase-like vesicle-associated protein	1	1	3.02E+06	3.96E+06	3.34E+06	3.17E+06	4.40E+06	3.78E+06	3.47E+06	3.21E+06	2.81E+06	2.86E+06	2.69E+06	3.07E+06	2.80E+06	2.86E+06	3.54E+06	3.45E+06	3.20E+06	4.35E+06	3.65E+06	3.46E+06	4.03E+06	4.40E+06	3.89E+06	3.47E+06
Q4W5G0	TIGD2_HUMAN	TIGD2		Tigger transposable element-derived protein 2	4	4	115307	255694	268161		210704		191993	143714	225597	160181	201250	254356	338210	297660	228484	462820	166300	208588	437516	219101	267775	298664	334141	337721
Q8NHM5	KDM2B_HUMAN	KDM2B	KDM2B	Lysine-specific demethylase 2B	17	17	2.38E+07	2.48E+07	1.96E+07	1.69E+07	2.21E+07	1.89E+07	2.09E+07	2.03E+07	1.95E+07	1.81E+07	1.93E+07	1.79E+07	2.27E+07	1.89E+07	1.80E+07	2.64E+07	2.35E+07	3.14E+07	2.26E+07	1.88E+07	3.00E+07	2.17E+07	2.49E+07	2.60E+07
Q8WUZ0-2	BCL7C_HUMAN	BCL7C		Isoform 2 of B-cell CLL/lymphoma 7 protein family member C	11	10	5.63E+06	5.01E+06	4.95E+06	4.96E+06	5.00E+06	4.66E+06	4.87E+06	4.60E+06	4.12E+06	4.82E+06	4.72E+06	4.38E+06	5.25E+06	4.64E+06	5.09E+06	4.76E+06	4.63E+06	6.37E+06	6.02E+06	4.48E+06	6.06E+06	5.57E+06	5.44E+06	6.52E+06
O43526-4	KCNQ2_HUMAN	KCNQ2	KCNQ2	Isoform 4 of Potassium voltage-gated channel subfamily KQT member 2	1	1	56774.9		27746	45924.6	40009.8	40931.9		33879.9			60854.4	35894.7												
Q9NZU5	LMCD1_HUMAN	LMCD1	LMCD1	LIM and cysteine-rich domains protein 1	20	20	7.59E+06	8.02E+06	7.67E+06	8.46E+06	8.08E+06	7.71E+06	8.28E+06	7.14E+06	7.12E+06	8.98E+06	8.21E+06	8.25E+06	4.12E+06	3.48E+06	3.97E+06	4.01E+06	3.45E+06	4.50E+06	4.58E+06	3.99E+06	4.53E+06	4.38E+06	4.51E+06	4.70E+06
P24158	PRTN3_HUMAN	PRTN3		Myeloblastin	2	2																	6.84E+06							
Q96QZ7-2;Q96QZ7-6	MAGI1_HUMAN	MAGI1	MAGI1	"Isoform 2 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1"	33	33	1.81E+07	1.63E+07	1.55E+07	1.63E+07	1.71E+07	1.68E+07	1.84E+07	1.64E+07	1.50E+07	1.67E+07	1.67E+07	1.74E+07	1.41E+07	1.26E+07	1.53E+07	1.41E+07	1.26E+07	1.52E+07	1.67E+07	1.31E+07	1.76E+07	1.46E+07	1.54E+07	1.64E+07
O75093	SLIT1_HUMAN	SLIT1		Slit homolog 1 protein	5	5	1.29E+06		1.26E+06	1.25E+06	851827					1.06E+06	1.54E+06	1.37E+06	2.15E+06	1.30E+06	2.05E+06	1.31E+06		1.04E+06	843416		1.74E+06		2.02E+06	1.83E+06
Q9NR46-2	SHLB2_HUMAN	SH3GLB2	SH3GLB2	Isoform 2 of Endophilin-B2	1	1	2.10E+06	1.41E+06	2.46E+06	3.01E+06	2.59E+06	3.08E+06	3.24E+06	2.03E+06	1.93E+06	3.08E+06	2.25E+06	2.25E+06	1.96E+06	2.49E+06	2.18E+06	2.83E+06	1.88E+06	2.44E+06	2.66E+06	2.12E+06	2.78E+06	2.74E+06	3.07E+06	2.57E+06
O15344	TRI18_HUMAN	MID1		E3 ubiquitin-protein ligase Midline-1	13	12	4.06E+06	3.67E+06	4.38E+06	4.12E+06	4.59E+06	5.03E+06	4.93E+06	4.06E+06	3.94E+06	4.85E+06	4.69E+06	4.18E+06	1.68E+06	2.23E+06	2.12E+06	2.32E+06	2.27E+06	2.42E+06	2.49E+06	2.30E+06	2.85E+06	2.23E+06	2.84E+06	2.07E+06
Q15181	IPYR_HUMAN	PPA1		Inorganic pyrophosphatase	23	23	1.14E+08	1.06E+08	1.11E+08	1.15E+08	1.14E+08	1.11E+08	1.16E+08	1.02E+08	9.82E+07	1.07E+08	1.08E+08	9.88E+07	1.14E+08	1.02E+08	1.13E+08	1.10E+08	1.08E+08	1.34E+08	1.33E+08	1.08E+08	1.41E+08	1.26E+08	1.25E+08	1.33E+08
P31937	3HIDH_HUMAN	HIBADH		"3-hydroxyisobutyrate dehydrogenase, mitochondrial"	9	9	1.01E+08	9.17E+07	1.00E+08	9.83E+07	9.77E+07	9.76E+07	9.61E+07	8.69E+07	8.27E+07	8.49E+07	8.50E+07	7.68E+07	1.03E+08	1.00E+08	1.09E+08	1.05E+08	1.00E+08	1.28E+08	1.36E+08	1.18E+08	1.44E+08	1.27E+08	1.27E+08	1.39E+08
O00505	IMA4_HUMAN	KPNA3		Importin subunit alpha-4	20	13	5.24E+07	4.90E+07	5.20E+07	5.64E+07	5.51E+07	5.38E+07	5.73E+07	5.13E+07	4.57E+07	5.38E+07	5.07E+07	4.90E+07	4.64E+07	4.13E+07	4.89E+07	4.74E+07	4.31E+07	5.58E+07	5.91E+07	4.97E+07	5.88E+07	5.50E+07	5.69E+07	5.93E+07
Q9P1Z3	HCN3_HUMAN	HCN3	HCN3	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3	11	10	808862	657082	711949	764477	689761	805083	804961	674468	855907	923127	935582	676874	670477	538194	553887	632817	538656	466552	728585	862860	635195	715706	683924	1.00E+06
