File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-01.raw	159890	9146	5.29294e+10	9010090961087	679472752673	3.296	0.09	0.50459	0.433636	2.0897	1.24175	0.0772152	0.269608	12.971	2.421	0.219
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-02.raw	162983	9079	5.23375e+10	9061428253362	692701971778	3.247	0.089	0.47698	0.444015	1.81465	1.32784	0.114614	0.288049	13.06	2.445	0.258
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-03.raw	160520	9104	5.07681e+10	8584408540745	652056733380	3.427	0.094	0.524393	0.457169	1.63499	1.32228	0.0798299	0.30078	13.02	2.428	0.215
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-04.raw	163013	9155	5.30397e+10	9083590299489	669880459437	3.449	0.095	0.50138	0.443794	2.03911	1.34482	0.0938843	0.320672	13.02	2.425	0.207
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-05.raw	164191	9152	5.22107e+10	9005598893852	660723105299	3.444	0.095	0.483513	0.46658	1.88182	1.30486	0.113734	0.291636	13.024	2.43	0.22
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-06.raw	162490	9162	5.22173e+10	9000801563255	656435075883	3.367	0.092	0.512613	0.437557	2.29008	1.31753	0.110679	0.313104	13.01	2.422	0.2
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-07.raw	163237	9165	5.34744e+10	9492213145932	687125277727	3.469	0.095	0.521788	0.4629	2.17172	1.30892	0.112185	0.292828	13.073	2.432	0.212
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-08.raw	165329	9224	5.02084e+10	8953001837497	633274022061	3.118	0.086	0.518734	0.42456	2.11578	1.36997	0.144639	0.311766	13.027	2.431	0.228
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-09.raw	162301	9068	4.96247e+10	8998803608425	640464531775	3.409	0.094	0.491337	0.431023	2.22577	1.28112	0.116013	0.301116	13.07	2.444	0.24
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-10.raw	168547	9279	5.42932e+10	9762676292119	669332126333	3.335	0.092	0.521735	0.466313	2.15962	1.28454	0.159846	0.274222	13.032	2.426	0.209
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-11.raw	161356	9198	4.93564e+10	8872317422816	628912618419	3.494	0.096	0.571898	0.499675	2.12781	1.45643	0.0937176	0.289794	13.012	2.427	0.206
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-12.raw	159977	9107	4.93827e+10	9266131293037	654188622023	3.403	0.093	0.545989	0.463575	2.10757	1.32539	0.120151	0.272106	13.027	2.429	0.214
Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-13.raw	156749	9049	4.89639e+10	8717985749482	654549421368	3.511	0.096	0.543714	0.461968	2.06116	1.38861	0.118768	0.294128	12.98	2.416	0.197
